token|source|price_usd|price_change_24h|liquidity|block_id|fetched_at
RAY|jupiter|0.6332298240437279|0.12620513809164216|8887666.58140559|412106691|2026-04-09T16:31:45.747196+00:00
BONK|jupiter|5.869971884032002e-06|-1.0572277205020402|3000571.1225047633|412106669|2026-04-09T16:31:45.747196+00:00
DRIFT|jupiter|0.02920152577303016|-8.842271782614402|106222.20386147917|412104829|2026-04-09T16:31:45.747196+00:00
WIF|jupiter|0.19805212667002847|2.1930594823792116|5188440.266392314|412106690|2026-04-09T16:31:45.747196+00:00
USDC|jupiter|0.9999535122032617|-0.007380869040190259|487052429.3202312|412106691|2026-04-09T16:31:45.747196+00:00
USDT|jupiter|1.0000865086322288|0.0001539458347418021|33364295.866857618|412106690|2026-04-09T16:31:45.747196+00:00
PYTH|jupiter|0.046171386927624056|5.79577149467262|162134.70767574996|412106680|2026-04-09T16:31:45.747196+00:00
JitoSOL|jupiter|106.40844070734893|0.5161937809479269|933255051.7663846|412106667|2026-04-09T16:31:45.747196+00:00
JUP|jupiter|0.1621047931584495|-0.3915900395459593|3237473.6830356643|412106680|2026-04-09T16:31:45.747196+00:00
KMNO|jupiter|0.019189203825603993|-1.4615573315043835|1541261.6817664953|412106620|2026-04-09T16:31:45.747196+00:00
SOL|jupiter|83.5692686566808|0.5362581307288792|666997572.1664821|412106689|2026-04-09T16:31:45.747196+00:00
HNT|jupiter|1.019410991542402|-2.1422739313085692|468579.34884936543|412106677|2026-04-09T16:31:45.747196+00:00
JTO|jupiter|0.2894004540483313|4.074114075126734|134418.37608782895|412106628|2026-04-09T16:31:45.747196+00:00
mSOL|jupiter|114.6393413106868|0.5559130520822682|271504267.244331|412106667|2026-04-09T16:31:45.747196+00:00
ORCA|jupiter|0.8998327180744861|0.6524637501943356|364637.6044330184|412106403|2026-04-09T16:31:45.747196+00:00
RENDER|jupiter|2.0709451067131157|0.8367072824402809|655112.5755304333|412106496|2026-04-09T16:31:45.747196+00:00
RAY|jupiter|0.6325130977355505|0.16142782084341947|8873950.539262963|412107005|2026-04-09T16:33:54.438482+00:00
BONK|jupiter|5.8649559948243934e-06|-0.8215795969644372|2999760.1563309273|412106923|2026-04-09T16:33:54.438482+00:00
DRIFT|jupiter|0.029219546961848857|-8.98351402819017|106056.48789678629|412106852|2026-04-09T16:33:54.438482+00:00
WIF|jupiter|0.19787949429895296|2.125904110999501|5188705.0819661105|412106908|2026-04-09T16:33:54.438482+00:00
USDC|jupiter|1.000097490326168|0.012618522030022788|485714160.88680947|412107011|2026-04-09T16:33:54.438482+00:00
USDT|jupiter|1.0002257737970965|0.019941077774074778|33316581.533644784|412107011|2026-04-09T16:33:54.438482+00:00
PYTH|jupiter|0.04616795010238041|5.792745268959342|162130.08267954187|412106921|2026-04-09T16:33:54.438482+00:00
JitoSOL|jupiter|106.3237403205743|0.5985770540222914|932512187.2490185|412106997|2026-04-09T16:33:54.438482+00:00
JUP|jupiter|0.16178852688050332|-0.5606026719750081|3225526.250672006|412107009|2026-04-09T16:33:54.438482+00:00
KMNO|jupiter|0.019173144677649242|-0.5851663249634739|1539993.1973646262|412106964|2026-04-09T16:33:54.438482+00:00
SOL|jupiter|83.44959714976054|0.3840231466935598|666979929.8263874|412107011|2026-04-09T16:33:54.438482+00:00
HNT|jupiter|1.0197998800997845|-1.7382733665937986|467945.81453415623|412106897|2026-04-09T16:33:54.438482+00:00
JTO|jupiter|0.28777437366668024|3.489343482102658|134081.04750373153|412106921|2026-04-09T16:33:54.438482+00:00
mSOL|jupiter|114.54216541064869|0.5912349942263151|271274122.2414724|412107001|2026-04-09T16:33:54.438482+00:00
ORCA|jupiter|0.8976715572039321|0.5704825814593607|365264.34097883303|412106754|2026-04-09T16:33:54.438482+00:00
RENDER|jupiter|2.0549664643167276|-0.21231361517519629|651970.0357144214|412106956|2026-04-09T16:33:54.438482+00:00
RAY|jupiter|0.6314571492868891|-0.0027319857975095425|8869897.253431795|412107215|2026-04-09T16:35:17.721944+00:00
BONK|jupiter|5.853344346187695e-06|-1.1868434960129504|2999386.023345934|412107170|2026-04-09T16:35:17.721944+00:00
DRIFT|jupiter|0.029219546961848857|-10.137470238613421|106056.48789678629|412106852|2026-04-09T16:35:17.721944+00:00
WIF|jupiter|0.19755927502425125|1.9569666353264676|5180600.663188235|412107215|2026-04-09T16:35:17.721944+00:00
USDC|jupiter|1.0000702968880655|0.001907701037829901|485627606.8888221|412107223|2026-04-09T16:35:17.721944+00:00
USDT|jupiter|1.0002035083548424|0.009898759764010326|33300681.30646763|412107223|2026-04-09T16:35:17.721944+00:00
PYTH|jupiter|0.04590676926398353|5.206151702469943|161043.16423393218|412107213|2026-04-09T16:35:17.721944+00:00
JitoSOL|jupiter|106.15343807580793|0.42305947015971723|931018551.6951743|412107216|2026-04-09T16:35:17.721944+00:00
JUP|jupiter|0.16170714525408025|-0.525855334893176|3227555.938818013|412107189|2026-04-09T16:35:17.721944+00:00
KMNO|jupiter|0.019152805477505894|-0.6714898363962719|1539933.3148044408|412107147|2026-04-09T16:35:17.721944+00:00
SOL|jupiter|83.42197694901765|0.33705728659744566|666848958.9854316|412107223|2026-04-09T16:35:17.721944+00:00
HNT|jupiter|1.0197998800997845|-2.0845811072695875|467945.81502446084|412106897|2026-04-09T16:35:17.721944+00:00
